,State,Disaster Type,Disaster Title,year start,year end
77,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
78,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
79,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
80,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
81,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
82,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
83,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
84,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
85,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
86,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
87,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
88,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
89,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
90,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
91,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
92,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
93,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
94,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
95,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
96,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2012,2012
97,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2012,2012
98,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2012,2012
99,AL,Hurricane,Hurricane Isaac,2012,2012
100,AL,Hurricane,Hurricane Isaac,2012,2012
101,AL,Hurricane,Hurricane Isaac,2012,2012
102,AL,Hurricane,Hurricane Isaac,2012,2012
103,AL,Hurricane,Hurricane Isaac,2012,2012
104,AL,Hurricane,Hurricane Isaac,2012,2012
105,AL,Hurricane,Hurricane Isaac,2012,2012
106,AL,Hurricane,Hurricane Isaac,2012,2012
107,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
108,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
109,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
110,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
111,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
112,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
113,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
114,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
115,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
116,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
117,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
118,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
119,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
120,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
121,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
122,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
123,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
124,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
125,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
126,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
127,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014,2014
128,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
129,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
130,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
131,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
132,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
133,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
134,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
135,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
136,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
137,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
138,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
139,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
140,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
141,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
142,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
143,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
144,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
145,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
146,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
147,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
148,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
149,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
150,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
151,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
152,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
153,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
154,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
155,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
156,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
157,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
158,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
159,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
160,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
161,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
162,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
163,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
164,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
165,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
166,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015,2015
167,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
168,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
169,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
170,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
171,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
172,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
173,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
174,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
175,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
176,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
177,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
178,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
179,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
180,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
181,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
182,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
183,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
184,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
185,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
186,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
187,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
188,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
189,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
190,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
191,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
192,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
193,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
194,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
195,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
196,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
197,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
198,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
199,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
200,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
201,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
202,AR,Storm,"Severe Storms, Tornadoes, and Associated Flooding",2011,2011
