State,Disaster Type,year start,Disaster Title,year end
KY,Snow,2015,"Severe Winter Storms, Snowstorms, Flooding, Landslides, and Mudslides ",2015
KY,Storm,2010,"Severe Storms, Flooding, Mudslides, and Tornadoes",2010
KY,Storm,2011,"Severe Storms, Tornadoes, and Flooding",2011
KY,Storm,2012,"Severe Storms, Tornadoes, Straight-Line Winds and Flooding",2012
KY,Storm,2014,"Severe Storms, Flooding, Landslides, and Mudslides",2014
KY,Storm,2015,"Severe Storms, Tornadoes, Straight-Line Winds, Flooding, Landslides, and Mudslide",2015
KY,Storm,2016,"Severe Storm, Tornadoes, Flooding, Landslides, and Mudslides",2016
LA,Flood,2011,Flooding,2011
LA,Flood,2015,Severe Storms and Flooding,2015
LA,Flood,2016,Severe Storms and Flooding,2016
LA,Hurricane,2012,Hurricane Isaac,2012
LA,Storm,2011,Tropical Storm Lee,2011
LA,Storm,2013,Severe Storms and Flooding,2013
LA,Tornado,2017,"Severe Storms, Tornadoes, and Straight-Line Winds",2017
MA,Hurricane,2011,Tropical Storm Irene,2011
MA,Hurricane,2012,Hurricane Sandy,2012
MA,Snow,2011,Severe Winter Storm and Snowstorm,2011
MA,Storm,2010,Severe Storms and  Flooding,2010
MA,Storm,2011,Severe Storm and Snowstorm,2011
MA,Storm,2013,"Severe Winter Storm, Snowstorm, and Flooding",2013
MA,Storm,2015,"Severe Winter Storm, Snowstorm, and Flooding",2015
MA,Tornado,2011,Severe Storms and Tornadoes,2011
MD,Flood,2011,Remnants of Tropical Storm Lee,2011
MD,Flood,2016,Severe Storm and Flooding,2016
MD,Hurricane,2011,Hurricane Irene,2011
MD,Hurricane,2012,Hurricane Sandy,2012
MD,Snow,2010,Severe Winter Storms and Snowstorms,2010
MD,Snow,2016,Severe Winter Storm and Snowstorm,2016
MD,Storm,2012,Severe Storms and Straight-Line Winds,2012
MD,Storm,2014,Snowstorm,2014
ME,Hurricane,2011,Tropical Storm Irene,2011
ME,Snow,2015,"Severe Winter Storm, Snowstorm, and Flooding",2015
ME,Storm,2010,Severe Winter Storm,2010
ME,Storm,2013,"Severe Winter Storm, Snowstorm, and Flooding",2013
MI,Flood,2013,Flooding ,2013
MI,Flood,2014,Severe Storms and Flooding,2014
MN,Flood,2010,Flooding,2010
MN,Flood,2011,Severe Storms and Flooding,2011
MN,Flood,2014,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2014
MN,Flood,2016,Severe Storms and Flooding,2016
MN,Storm,2010,Severe Storms and Flooding,2010
MN,Storm,2011,Severe Storms and Tornadoes,2011
MN,Storm,2012,Severe Storms and Flooding,2012
MN,Storm,2013,Severe Winter Storm,2013
MN,Tornado,2010,"Severe Storms, Tornadoes, and Flooding",2010
MO,Flood,2011,Flooding,2011
MO,Flood,2015,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2016
MO,Storm,2010,"Severe Storms, Flooding, and Tornadoes",2010
MO,Storm,2011,Severe Winter Storm and Snowstorm,2011
MO,Storm,2013,"Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",2013
MO,Storm,2014,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014
MO,Storm,2015,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015
