,State,CountyName,Housing Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,NY,New York County,Data_1_bed,524230.3333333333,572724.5833333334,577255.1666666666,601978.3333333334,652846.0,692174.3333333334,707325.4166666666,736360.25,731432.75,702898.8333333334,685897.3333333334
1,IL,Cook County,Data_1_bed,211172.75,192259.83333333334,178664.08333333334,188592.91666666666,204526.83333333334,205508.16666666666,209737.25,216489.16666666666,220843.91666666666,217292.5,219304.0
2,NY,New York County,Data_1_bed,623403.75,653817.6666666666,661195.1666666666,712712.5,808760.1666666666,845258.8333333334,855036.1666666666,845226.4166666666,823293.5,788139.5833333334,765217.3333333334
3,IL,Cook County,Data_1_bed,234486.41666666666,219276.25,207400.75,219404.66666666666,231354.75,236109.91666666666,241497.33333333334,248256.41666666666,251728.91666666666,249244.58333333334,247461.33333333334
4,TX,Harris County,Data_1_bed,95503.25,87770.0,80351.83333333333,86292.58333333333,97141.0,109236.25,117556.75,120752.41666666667,128352.41666666667,134669.08333333334,140585.33333333334
5,NY,New York County,Data_1_bed,440757.8333333333,478302.5,468081.4166666667,499638.75,528198.8333333334,591591.5833333334,676982.75,717912.0833333334,720380.1666666666,683216.8333333334,691528.0
6,TX,Harris County,Data_1_bed,43554.583333333336,40364.416666666664,36659.083333333336,40566.333333333336,48337.083333333336,53404.583333333336,60859.166666666664,69223.16666666667,73542.25,75870.58333333333,77342.33333333333
7,TX,El Paso County,Data_1_bed,109368.0,107854.33333333333,106396.83333333333,108289.83333333333,109848.08333333333,108556.58333333333,111521.91666666667,115280.33333333333,118201.16666666667,124395.91666666667,128135.41666666667
8,IL,Cook County,Data_1_bed,139970.0,120835.66666666667,107319.5,114800.08333333333,126133.0,129066.66666666667,133810.83333333334,142693.83333333334,146617.66666666666,147019.75,150918.91666666666
9,NY,Kings County,Data_1_bed,351179.8333333333,327058.3333333333,330333.9166666667,339689.9166666667,355831.1666666667,387594.0,419608.6666666667,435768.0,459437.1666666667,463132.3333333333,460136.25
10,NY,Bronx County,Data_1_bed,139476.66666666666,133037.75,119605.25,105895.33333333333,108245.25,114993.0,124116.83333333333,147728.91666666666,157315.5,165029.41666666666,177666.41666666666
11,TX,Travis County,Data_1_bed,166750.41666666666,160658.33333333334,162690.41666666666,174645.5,190738.0,208849.91666666666,229317.58333333334,243630.91666666666,256589.41666666666,268744.0833333333,290884.4166666667
12,CA,San Francisco County,Data_1_bed,596134.5,556446.0,574428.0833333334,675183.4166666666,724244.75,791526.4166666666,819154.75,810899.1666666666,852008.9166666666,852026.75,865572.0
