,State,CountyName,Housing Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
35,GA,Clayton County,Data_condo,41804.1,33304.5,34345.0,34955.083333333336,34699.916666666664,38948.083333333336,40490.416666666664,47137.333333333336,54090.583333333336,60425.75,68520.16666666667
36,TX,El Paso County,Data_condo,109302.16666666667,107078.5,106145.08333333333,109988.58333333333,108065.75,108431.91666666667,107644.66666666667,110767.41666666667,113066.25,116022.25,119167.66666666667
37,TX,Dallas County,Data_condo,72742.75,66885.33333333333,64950.083333333336,68743.25,76315.0,82549.66666666667,92720.91666666667,104170.91666666667,119026.83333333333,136440.25,144466.08333333334
38,TN,Montgomery County,Data_condo,126179.58333333333,121961.41666666667,120468.91666666667,112059.0,130601.5,132530.16666666666,141617.83333333334,147361.75,149694.75,154637.16666666666,170302.16666666666
39,OK,Canadian County,Data_condo,154551.33333333334,146199.08333333334,143586.66666666666,148277.41666666666,148416.33333333334,152356.0,147062.5,147764.0,148243.75,156664.16666666666,164118.75
40,CA,Los Angeles County,Data_condo,498667.75,456161.5,442230.0,522693.0,565360.0833333334,595380.9166666666,638082.0,677472.0833333334,719243.5833333334,725991.4166666666,758050.8333333334
41,DC,District of Columbia,Data_condo,409646.3333333333,411426.3333333333,418711.6666666667,447674.75,467642.0,474623.1666666667,484058.25,502522.8333333333,509063.9166666667,516378.5833333333,526601.1666666666
42,TX,Harris County,Data_condo,92318.91666666667,88901.66666666667,89551.75,94934.33333333333,105420.75,112982.91666666667,119783.91666666667,125739.66666666667,133346.33333333334,141420.16666666666,148401.0
43,TX,Bexar County,Data_condo,87772.0,81269.41666666667,83793.0,83584.75,85308.83333333333,86968.66666666667,92267.75,97920.25,102761.16666666667,111841.08333333333,113485.58333333333
44,TX,Fort Bend County,Data_condo,137345.75,133738.83333333334,134161.83333333334,145755.0,158404.66666666666,171694.41666666666,178858.5,186567.83333333334,194421.41666666666,195754.25,201589.25
45,NY,Bronx County,Data_condo,132259.16666666666,122746.33333333333,131091.5,125240.08333333333,123003.25,122850.5,124896.25,134166.41666666666,153203.75,174715.41666666666,191313.0
46,NY,Bronx County,Data_condo,149125.58333333334,149112.08333333334,165443.75,150698.33333333334,158939.66666666666,160832.41666666666,178389.66666666666,195533.66666666666,218755.66666666666,226132.0,229185.75
47,IL,Cook County,Data_condo,244777.58333333334,221466.16666666666,207991.58333333334,221650.25,237965.25,240848.08333333334,249489.16666666666,262269.4166666667,268069.75,267313.0833333333,269839.5833333333
48,GA,Gwinnett County,Data_condo,103730.5,84330.83333333333,77304.66666666667,90593.08333333333,110650.33333333333,122058.08333333333,132139.58333333334,142733.33333333334,158238.08333333334,170934.91666666666,182225.08333333334
49,NY,New York County,Data_condo,809189.3333333334,861365.8333333334,879521.5,924714.3333333334,1050529.4166666667,1129014.25,1162834.5833333333,1137271.1666666667,1127092.6666666667,1063263.5,1014054.4166666666
50,MO,Saint Charles County,Data_condo,123515.91666666667,110369.75,103176.0,104432.25,107684.33333333333,109365.25,114439.5,122413.83333333333,129276.75,136199.0,145269.75
51,NY,New York County,Data_condo,788237.4166666666,853337.75,868720.0,909019.75,1015886.25,1145089.5833333333,1131898.1666666667,1108353.1666666667,1108954.0833333333,1148693.0833333333,1051451.0
52,NC,Mecklenburg County,Data_condo,160257.16666666666,144874.66666666666,141868.25,151856.75,164748.16666666666,172800.33333333334,182547.0,196696.33333333334,211482.16666666666,220708.25,231989.41666666666
53,IL,Cook County,Data_condo,212456.33333333334,185603.41666666666,159773.91666666666,171304.0,190946.08333333334,205563.83333333334,217340.83333333334,226253.41666666666,236052.33333333334,237442.58333333334,244303.08333333334
54,GA,Gwinnett County,Data_condo,144790.0,121653.66666666667,110250.66666666667,131442.16666666666,148995.25,159806.16666666666,171046.41666666666,185915.16666666666,203871.25,217430.25,229580.75
55,NY,Kings County,Data_condo,209200.75,203726.41666666666,205832.25,213781.33333333334,225844.33333333334,257206.08333333334,279711.3333333333,288043.8333333333,301563.6666666667,339201.6666666667,346328.4166666667
56,TX,Harris County,Data_condo,49152.083333333336,46520.25,43379.333333333336,39940.333333333336,41044.416666666664,44299.416666666664,46830.083333333336,48818.166666666664,52604.583333333336,55567.916666666664,58873.333333333336
57,NY,New York County,Data_condo,220616.41666666666,216744.83333333334,216389.58333333334,217362.91666666666,204956.16666666666,211900.75,236007.66666666666,235806.58333333334,230524.66666666666,263382.4166666667,282240.1666666667
58,IL,Cook County,Data_condo,95684.0,85213.83333333333,76007.58333333333,75003.58333333333,72633.83333333333,79692.0,88888.16666666667,95279.66666666667,102946.5,105320.58333333333,107311.83333333333
59,NY,Kings County,Data_condo,293882.6666666667,275198.8333333333,288156.4166666667,295952.75,316061.0833333333,339660.5,357631.3333333333,391721.0833333333,416030.0833333333,429923.1666666667,415057.5
60,GA,Gwinnett County,Data_condo,108029.66666666667,88884.41666666667,81361.33333333333,94848.08333333333,112820.58333333333,122766.75,132700.66666666666,143086.16666666666,157587.33333333334,169158.83333333334,178901.5
61,NY,Kings County,Data_condo,317808.3333333333,317498.6666666667,338137.3333333333,389442.9166666667,484635.8333333333,573994.9166666666,630705.25,663225.25,679763.6666666666,674356.0,685936.0833333334
62,NJ,Hudson County,Data_condo,473497.5,449908.4166666667,456625.6666666667,508235.25,566038.5,610806.3333333334,656059.3333333334,696989.25,718547.5,690500.6666666666,684219.5
63,WA,King County,Data_condo,278190.8333333333,237867.16666666666,220471.83333333334,252692.75,283688.0,308586.1666666667,346545.8333333333,416756.9166666667,482516.8333333333,473632.5833333333,503044.8333333333
64,GA,Gwinnett County,Data_condo,197222.58333333334,174023.25,170343.25,194304.91666666666,216749.91666666666,228913.83333333334,243214.91666666666,259791.41666666666,279025.1666666667,289603.9166666667,298723.0833333333
65,IL,Cook County,Data_condo,325237.5833333333,303737.6666666667,292356.0833333333,320943.0833333333,348018.1666666667,356480.4166666667,365420.6666666667,375698.0,379027.9166666667,369597.25,371676.3333333333
66,TX,Travis County,Data_condo,257670.66666666666,251530.66666666666,259555.58333333334,283723.75,313623.1666666667,340706.1666666667,365001.25,375604.9166666667,386955.25,400228.4166666667,420868.75
67,TX,Harris County,Data_condo,89018.75,84662.0,83287.25,92489.16666666667,103041.83333333333,111526.08333333333,118760.25,121001.83333333333,123582.33333333333,128677.08333333333,127499.58333333333
68,AZ,Maricopa County,Data_condo,85608.83333333333,73501.75,80015.08333333333,99056.5,111682.41666666667,116306.41666666667,123937.33333333333,135381.5,150481.66666666666,162220.5,178737.5
69,TX,Harris County,Data_condo,97741.0,84996.0,86584.33333333333,88476.91666666667,97682.16666666667,107940.16666666667,115669.33333333333,120607.16666666667,126276.08333333333,135943.33333333334,141657.0
70,TX,Dallas County,Data_condo,123785.83333333333,112117.25,109295.0,114551.91666666667,123025.75,136254.91666666666,152504.41666666666,169663.33333333334,184201.66666666666,189957.41666666666,192219.33333333334
71,NY,New York County,Data_condo,873239.8333333334,964284.25,995012.9166666666,1042627.5833333334,1148362.75,1242539.8333333333,1275849.1666666667,1274307.3333333333,1294775.5,1357135.3333333333,1354154.9166666667
72,TX,Hays County,Data_condo,103964.16666666667,100157.16666666667,103280.0,105712.66666666667,107186.33333333333,115627.25,119949.58333333333,129759.83333333333,136425.5,141228.66666666666,154481.83333333334
73,MD,Baltimore County,Data_condo,156495.16666666666,139472.75,125195.16666666667,125501.0,124532.25,124364.25,124290.83333333333,126884.91666666667,132509.33333333334,135537.25,139212.66666666666
74,FL,Miami-Dade County,Data_condo,245013.83333333334,242969.58333333334,261454.33333333334,308283.3333333333,348641.0,366636.5833333333,375017.75,368219.5833333333,359948.25,345099.8333333333,339128.0833333333
75,VA,Virginia Beach City,Data_condo,167337.25,153130.16666666666,143481.91666666666,144173.16666666666,141755.25,142811.75,145203.83333333334,147638.58333333334,151272.83333333334,154763.41666666666,163791.58333333334
76,FL,Orange County,Data_condo,70206.08333333333,69960.08333333333,75335.66666666667,91935.33333333333,104768.25,110040.91666666667,120846.33333333333,131819.66666666666,146837.0,160008.33333333334,167542.41666666666
77,TX,Cameron County,Data_condo,79108.83333333333,77632.16666666667,79296.33333333333,76253.58333333333,68953.08333333333,70124.75,67583.91666666667,68893.16666666667,74449.16666666667,75974.33333333333,76363.33333333333
78,NJ,Ocean County,Data_condo,135648.75,123683.75,111550.16666666667,114763.91666666667,129251.5,132826.16666666666,135886.5,139455.33333333334,144126.58333333334,147201.25,150420.66666666666
79,TX,Dallas County,Data_condo,42027.25,40724.916666666664,39014.25,41974.25,43952.083333333336,47070.666666666664,54501.416666666664,67058.83333333333,80644.25,86144.5,97891.91666666667
80,NY,Kings County,Data_condo,258157.0,260694.91666666666,262654.8333333333,279528.0833333333,299045.5833333333,321557.5833333333,343506.4166666667,360765.75,380686.9166666667,393543.1666666667,375228.5
81,NC,Cabarrus County,Data_condo,151633.66666666666,145000.33333333334,143911.33333333334,138881.16666666666,145718.75,152814.16666666666,158690.25,170769.5,184145.33333333334,198752.16666666666,214082.83333333334
82,NY,Kings County,Data_condo,217919.08333333334,224752.16666666666,230647.08333333334,239614.16666666666,251871.66666666666,259747.25,274141.9166666667,299905.9166666667,316312.6666666667,329303.1666666667,335560.0
83,CA,Alameda County,Data_condo,375842.0833333333,341769.1666666667,320342.4166666667,395594.75,463497.5833333333,517114.75,572600.5,622949.5833333334,672812.5,655021.3333333334,673771.3333333334
84,MA,Norfolk County,Data_condo,240821.91666666666,230695.33333333334,225440.25,244918.91666666666,261142.58333333334,271055.3333333333,288821.9166666667,310283.9166666667,332708.6666666667,344810.1666666667,357319.0
85,FL,Palm Beach County,Data_condo,61901.583333333336,53874.416666666664,55205.333333333336,66350.58333333333,78538.66666666667,84973.5,93009.25,102074.58333333333,111517.58333333333,117161.16666666667,122424.33333333333
86,NY,Kings County,Data_condo,173010.75,167926.25,167080.66666666666,170544.16666666666,184236.16666666666,195955.0,206810.16666666666,229736.33333333334,250707.66666666666,274904.5,274996.0
87,IL,Cook County,Data_condo,61164.583333333336,55414.5,47498.416666666664,50398.083333333336,52339.833333333336,56970.0,62306.25,68133.83333333333,71598.0,77413.0,81438.16666666667
88,TX,Travis County,Data_condo,199442.25,188681.83333333334,189022.0,210778.91666666666,225549.91666666666,242524.25,262183.0,274637.0,285622.25,300385.1666666667,319067.5
89,CA,San Francisco County,Data_condo,726004.8333333334,708836.1666666666,763052.0,906783.1666666666,1041992.5833333334,1180655.4166666667,1225793.0,1232722.8333333333,1337128.0,1365019.0833333333,1345862.8333333333
90,VA,Virginia Beach City,Data_condo,214487.33333333334,196868.33333333334,186879.08333333334,188053.58333333334,187483.08333333334,186933.16666666666,189043.16666666666,191967.25,196478.5,200636.5,211280.91666666666
91,FL,Broward County,Data_condo,80734.33333333333,74658.08333333333,78979.0,96258.0,114233.08333333333,121981.25,131622.33333333334,140323.58333333334,147740.83333333334,153044.25,159820.08333333334
92,NY,Bronx County,Data_condo,170762.25,158710.41666666666,147068.41666666666,136983.75,129754.41666666667,123549.25,133020.5,153000.08333333334,163405.33333333334,166817.58333333334,173613.91666666666
93,TX,Denton County,Data_condo,181354.75,173570.83333333334,174500.66666666666,184442.08333333334,197933.75,215156.83333333334,233298.0,247700.5,262329.75,262487.25,265555.8333333333
94,CA,Los Angeles County,Data_condo,430544.6666666667,394792.6666666667,387590.5833333333,459725.6666666667,506200.4166666667,531504.75,585373.8333333334,650536.3333333334,711931.8333333334,737425.75,786497.75
96,FL,Miami-Dade County,Data_condo,225830.33333333334,218626.83333333334,235091.58333333334,273304.9166666667,310341.25,326848.25,333169.5,324627.3333333333,312015.75,302835.0,297690.0
97,IL,Cook County,Data_condo,426952.4166666667,399385.3333333333,388902.8333333333,424549.5833333333,454941.5,458486.1666666667,465267.75,474785.1666666667,471533.3333333333,458700.5833333333,456885.4166666667
98,CA,Sacramento County,Data_condo,213840.41666666666,197352.25,193943.16666666666,242830.08333333334,278117.5,287537.3333333333,312442.75,337464.0,354445.1666666667,365109.5,389328.5
99,MI,Washtenaw County,Data_condo,99233.66666666667,96912.08333333333,105570.08333333333,118433.66666666667,131656.25,137867.16666666666,149355.66666666666,160179.83333333334,174587.16666666666,182979.33333333334,187235.0
100,OH,Cuyahoga County,Data_condo,75683.58333333333,69844.08333333333,62675.833333333336,65891.16666666667,65852.41666666667,70178.33333333333,76710.08333333333,82494.75,90630.16666666667,97317.16666666667,106912.25
101,KS,Johnson County,Data_condo,147295.25,142257.08333333334,136563.33333333334,140258.91666666666,148349.41666666666,154851.08333333334,165893.75,172755.25,184035.08333333334,190521.25,201428.41666666666
102,NY,Kings County,Data_condo,498036.75,509316.0833333333,547461.8333333334,637482.5,752702.1666666666,861331.4166666666,880067.3333333334,881913.5,909780.4166666666,937464.5,951974.4166666666
103,OH,Lorain County,Data_condo,102898.41666666667,95574.41666666667,83587.16666666667,78960.5,76559.0,78282.41666666667,82799.33333333333,87947.25,90783.33333333333,97807.58333333333,105060.16666666667
104,AZ,Maricopa County,Data_condo,127795.83333333333,103983.91666666667,111407.5,140059.41666666666,150375.58333333334,157340.58333333334,164923.83333333334,178541.33333333334,192940.75,205661.25,226342.5
105,NY,Queens County,Data_condo,230045.08333333334,232961.58333333334,233507.58333333334,247154.75,266001.75,295346.75,328912.4166666667,340906.75,351863.5833333333,353478.3333333333,375838.6666666667
106,CA,Los Angeles County,Data_condo,165957.0,164451.66666666666,152642.41666666666,174954.58333333334,198206.16666666666,215324.5,230485.25,246842.5,284413.6666666667,298281.8333333333,312955.0
107,NJ,Hudson County,Data_condo,461591.5833333333,444359.3333333333,456941.4166666667,506709.9166666667,565938.8333333334,614064.5833333334,677428.9166666666,731307.75,758784.1666666666,728721.0,714988.9166666666
108,CA,Los Angeles County,Data_condo,236001.16666666666,219392.08333333334,208125.58333333334,239349.33333333334,281669.5833333333,304201.4166666667,326623.25,356373.5,391176.8333333333,400078.5833333333,424735.0
109,CA,Los Angeles County,Data_condo,188239.58333333334,174104.0,177297.25,212819.08333333334,239954.08333333334,252241.66666666666,260720.41666666666,300340.75,353227.9166666667,395428.6666666667,432180.8333333333
110,AZ,Pima County,Data_condo,94916.91666666667,79221.83333333333,74055.0,76502.75,82212.0,87135.75,91572.83333333333,98722.75,108189.41666666667,116899.91666666667,130358.33333333333
111,CA,Orange County,Data_condo,317000.75,293364.4166666667,286735.1666666667,339943.0,372698.75,393167.4166666667,413068.4166666667,445225.9166666667,475012.4166666667,478597.0,501889.6666666667
112,AZ,Maricopa County,Data_condo,77426.91666666667,68118.75,78044.5,97916.41666666667,110374.33333333333,116063.0,128055.08333333333,144061.5,159750.83333333334,172074.16666666666,192372.75
116,NY,Queens County,Data_condo,228589.0,232929.66666666666,243727.91666666666,257207.41666666666,276624.9166666667,299403.0833333333,322916.9166666667,355830.5,389044.0833333333,380707.6666666667,380670.1666666667
117,NY,Kings County,Data_condo,421164.5833333333,417844.5833333333,425896.75,486320.0833333333,588205.75,664682.25,705895.1666666666,691989.1666666666,746707.6666666666,771234.25,717686.0833333334
119,NY,Richmond County,Data_condo,265634.75,259144.0,250719.16666666666,257341.41666666666,265648.5,273533.9166666667,293364.25,326297.25,361793.6666666667,376259.25,374599.75
120,PA,Philadelphia County,Data_condo,137389.58333333334,124686.33333333333,110887.58333333333,112175.58333333333,112420.33333333333,115219.33333333333,127502.83333333333,143570.0,165879.66666666666,187251.91666666666,207042.66666666666
121,TX,El Paso County,Data_condo,152413.0,147655.83333333334,140830.16666666666,144683.41666666666,141182.75,144200.16666666666,146893.16666666666,150235.08333333334,150690.25,153354.66666666666,157021.25
122,CA,San Bernardino County,Data_condo,303198.75,288633.0833333333,271035.3333333333,321836.4166666667,387365.5,397635.3333333333,414217.6666666667,445282.25,475934.4166666667,473422.3333333333,490173.5833333333
123,NY,Kings County,Data_condo,696156.1666666666,683827.75,702060.6666666666,772602.75,914023.1666666666,1004507.5833333334,1065656.5833333333,1054348.5833333333,1012008.5833333334,1045452.75,1000055.75
125,IL,Cook County,Data_condo,66637.83333333333,60365.333333333336,56397.666666666664,54529.916666666664,54631.0,48743.583333333336,47570.583333333336,51659.083333333336,60108.416666666664,68003.33333333333,70563.75
126,NM,Bernalillo County,Data_condo,102968.0,98181.5,94307.08333333333,98160.66666666667,97967.58333333333,94683.41666666667,100412.83333333333,105822.33333333333,112332.75,120387.83333333333,130626.66666666667
127,FL,Duval County,Data_condo,74486.41666666667,60482.416666666664,55675.0,58914.75,66221.08333333333,69058.58333333333,74424.66666666667,78682.66666666667,90125.16666666667,93808.83333333333,97864.66666666667
128,OH,Franklin County,Data_condo,111509.25,104518.58333333333,96818.16666666667,99872.16666666667,107555.91666666667,112994.66666666667,120410.5,132831.0,144687.41666666666,154599.66666666666,165683.58333333334
129,CA,Napa County,Data_condo,304690.5,285795.3333333333,279633.5,325943.4166666667,374989.75,409996.4166666667,447724.25,478858.9166666667,513447.5,520094.0833333333,528331.6666666666
130,CA,Los Angeles County,Data_condo,418143.1666666667,381593.5833333333,379136.0,441746.1666666667,484701.5,520034.0,569365.75,604925.9166666666,661408.75,712656.0833333334,765449.1666666666
131,TX,Tarrant County,Data_condo,127529.25,125395.58333333333,126057.08333333333,132355.16666666666,143287.66666666666,159667.75,184789.0,206069.25,221475.75,214386.83333333334,211909.33333333334
132,TX,Fort Bend County,Data_condo,136535.58333333334,131364.25,125484.91666666667,132095.41666666666,137987.5,146201.5,151957.5,156145.75,159015.58333333334,166179.16666666666,169393.33333333334
133,CA,San Diego County,Data_condo,196858.91666666666,187740.33333333334,186843.66666666666,222148.5,258398.5,278150.9166666667,305243.0833333333,331331.4166666667,359341.4166666667,365500.0,388412.0
134,NC,Wake County,Data_condo,174035.16666666666,164414.08333333334,161188.66666666666,167842.91666666666,173871.75,179728.75,193098.25,208322.75,218352.5,227592.75,240566.75
135,GA,Forsyth County,Data_condo,173593.0,152599.83333333334,151251.08333333334,161420.66666666666,178204.5,191026.0,201327.33333333334,216748.75,237546.33333333334,249333.66666666666,262926.0833333333
137,OR,Multnomah County,Data_condo,212402.16666666666,186458.5,175458.66666666666,199713.83333333334,221283.08333333334,237955.5,271716.3333333333,303007.3333333333,335789.6666666667,341024.5833333333,338128.9166666667
138,CT,Hartford County,Data_condo,126325.91666666667,120150.25,117216.08333333333,111388.58333333333,106211.5,99844.5,103855.83333333333,109969.5,109948.0,111177.16666666667,116258.75
139,PA,Lancaster County,Data_condo,111745.91666666667,104872.0,103655.58333333333,103192.83333333333,105853.16666666667,106289.33333333333,110425.91666666667,117403.08333333333,126794.41666666667,135826.0,144339.08333333334
140,TX,Johnson County,Data_condo,110454.41666666667,104205.58333333333,104283.25,110998.91666666667,126752.33333333333,138601.5,150772.75,169896.0,184710.5,195875.58333333334,200008.75
141,FL,Lee County,Data_condo,155173.33333333334,149778.5,148388.16666666666,158525.66666666666,170597.83333333334,184922.58333333334,198140.08333333334,200227.25,201896.66666666666,201716.5,204598.25
142,OH,Franklin County,Data_condo,124985.41666666667,117862.16666666667,109546.25,109265.41666666667,118009.91666666667,126497.66666666667,133655.41666666666,146759.91666666666,160090.41666666666,172431.25,188019.41666666666
143,TX,Denton County,Data_condo,121678.0,116039.91666666667,119289.08333333333,134907.66666666666,158181.33333333334,188568.75,216588.25,239995.0,258919.83333333334,268784.3333333333,274753.5833333333
144,NV,Clark County,Data_condo,61305.25,51692.083333333336,51854.416666666664,69400.75,78863.83333333333,81012.08333333333,84336.58333333333,90923.75,116809.16666666667,130593.33333333333,136122.91666666666
145,AZ,Maricopa County,Data_condo,92516.41666666667,79003.33333333333,85741.91666666667,110512.75,121135.91666666667,127589.83333333333,139427.66666666666,152993.0,166193.33333333334,182862.25,198665.83333333334
146,TX,Hidalgo County,Data_condo,66501.58333333333,66025.83333333333,69685.83333333333,71292.91666666667,75714.66666666667,76309.58333333333,82141.91666666667,87694.0,93296.91666666667,98715.16666666667,106075.33333333333
147,TX,Bexar County,Data_condo,119055.58333333333,111704.75,109371.83333333333,111775.16666666667,114010.91666666667,117426.33333333333,124435.75,130806.16666666667,134668.58333333334,141365.83333333334,146518.33333333334
148,CA,Solano County,Data_condo,98662.83333333333,88978.41666666667,84835.41666666667,105809.25,125479.41666666667,131449.5,145276.66666666666,173163.83333333334,201044.66666666666,213312.83333333334,224445.66666666666
149,NM,Bernalillo County,Data_condo,155260.83333333334,143917.66666666666,140358.66666666666,143631.66666666666,144185.91666666666,144252.83333333334,147259.5,152189.83333333334,156248.75,165212.58333333334,176249.33333333334
150,NY,Tompkins County,Data_condo,140607.5,138673.75,140022.66666666666,148066.91666666666,156985.41666666666,158852.33333333334,159865.75,166082.58333333334,172390.41666666666,171501.25,178627.25
151,FL,Broward County,Data_condo,75917.41666666667,68902.41666666667,71100.83333333333,85429.66666666667,104922.25,114066.5,125063.58333333333,136906.33333333334,145158.08333333334,152715.08333333334,162947.91666666666
152,WA,Snohomish County,Data_condo,283342.8333333333,232462.25,222405.25,252507.75,286323.4166666667,309536.1666666667,342862.5,392648.3333333333,442293.8333333333,448547.5,476987.0833333333
153,MI,Wayne County,Data_condo,64647.083333333336,57483.416666666664,53653.333333333336,59147.5,70835.5,73756.33333333333,80343.75,90086.66666666667,104345.75,116992.25,121903.25
154,TX,Brazos County,Data_condo,103349.25,100376.16666666667,103222.75,108820.83333333333,109098.0,113579.41666666667,121737.0,130429.0,136330.58333333334,137389.66666666666,144482.66666666666
