Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-1941,Disaster,10/13/10,MN,Cottonwood County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Dodge County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Faribault County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Freeborn County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Goodhue County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Jackson County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Le Sueur County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Lincoln County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Lyon County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Martin County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Mower County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Murray County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Nicollet County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Nobles County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Olmsted County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Pipestone County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Redwood County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Rice County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Rock County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Sibley County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Steele County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Wabasha County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Waseca County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Watonwan County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1941,Disaster,10/13/10,MN,Winona County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
